lr_g,lr_d,batch_size,latent_dim,max_epochs,patience,min_delta,real_label,fake_label,noise_std,d_train_freq,g_train_freq,final_g_loss,final_d_loss,min_g_loss,training_epochs,training_time,g_loss_std,d_loss_std,mode_collapse,generation_success,character_diversity,repetition_score,quality_score,config_id
0.0001,0.0002,64,100,50,15,0.01,1.0,0.1,0.0,1,1,2.266106462478638,0.32985941916704176,1.0358165986835957,28,56.96126437187195,0.17897040780321177,0.07441638441392526,False,True,1,0.5857142857142857,62.98448809237385,27
0.0005,0.0001,64,100,50,10,0.001,1.0,0.0,0.0,2,1,1.323633897304535,0.3493018075823784,0.6549382731318474,21,44.26752185821533,0.18890538623430458,0.11678690652843883,False,True,2,0.6214285714285714,48.03800876135973,28
0.0005,0.0001,16,100,50,10,0.01,1.0,0.0,0.02,2,1,1.0518504062408134,0.49249256468271907,0.6781579652164555,11,52.95738887786865,1.0138037929103536,0.12766974570538334,False,True,6,0.7642857142857143,27.15895159838847,29
0.0005,0.0001,32,128,50,15,0.01,0.9,0.0,0.0,2,1,1.6611003366452228,0.5960677537737014,0.7097614105743698,16,42.061211585998535,0.36660157957869355,0.1259635253594323,False,True,1,0.5857142857142857,57.87258269291712,30
0.0002,0.0001,64,128,50,15,0.005,1.0,0.1,0.0,1,1,2.2978826105594634,0.3259301699697971,0.5993236407637597,18,37.71789860725403,0.5508435682261402,0.28278794637686344,False,True,3,0.9428571428571428,25.44732966101105,32
0.0002,0.0002,16,128,50,10,0.005,1.0,0.1,0.02,2,1,0.808269522612608,0.6059932652153547,0.7582089817033538,12,50.866103172302246,0.1702565866384097,0.06346503201338247,False,True,4,0.8,20.933978159318126,34
0.0005,0.0002,64,64,50,10,0.001,0.9,0.1,0.02,1,1,0.8689754322171211,1.1615190654993057,0.7380006611347198,13,27.977378606796265,0.2910734445236453,0.11631910263249672,False,True,2,0.6571428571428571,40.430835830503725,37
0.0005,0.0005,16,128,50,10,0.005,0.9,0.0,0.0,2,1,4.84280147431772,0.1710330432728876,1.1581160146978837,12,56.17254137992859,1.334696718845966,0.15707428414642316,False,True,1,0.5857142857142857,94.53006976597845,38
0.0001,0.0001,16,64,50,15,0.001,0.9,0.1,0.0,2,1,1.4351130961617338,0.4216820857947386,0.7356891922558411,17,73.27764201164246,0.20074392088712603,0.06452446275773203,False,True,2,0.6214285714285714,49.21199342319582,39
0.0005,0.0002,16,100,50,15,0.005,1.0,0.0,0.0,1,1,7.238798298413241,0.0017123622595055523,1.2094748895379561,16,80.43716931343079,1.2632252904750483,0.08577487708657767,False,True,1,0.5857142857142857,118.13268086507907,40
